"id","age","income","gender"
1,60,20,1
2,40,40,1
3,75,30,0
4,40,40,0
6,30,30,0
7,30,60,0
8,50,50,1
9,50,100,0
10,50,50,0
11,40,40,0
12,30,30,0
13,60,70,0
14,75,50,0
15,40,70,0
16,50,50,0
17,40,30,0
18,50,40,0
19,50,30,1
20,40,60,0
21,50,100,0
22,40,40,0
23,40,50,1
24,40,50,0
25,75,20,1
26,40,30,0
27,50,40,1
28,40,50,1
29,30,30,0
30,40,50,0
32,30,40,0
33,50,50,1
34,50,40,1
35,50,30,1
36,75,20,0
37,50,100,0
39,30,60,0
40,75,20,0
41,40,40,0
43,30,40,0
44,40,40,0
45,60,30,0
46,30,30,0
47,30,40,1
48,50,70,0
49,60,30,0
50,40,100,1
51,40,40,0
52,20,30,0
53,40,20,1
54,50,100,0
55,30,100,0
56,50,100,0
57,75,30,1
58,40,40,0
59,30,50,0
61,40,100,0
62,75,40,0
63,40,60,0
64,50,50,1
65,60,50,0
66,30,30,0
67,50,60,1
68,40,100,0
69,75,60,0
70,60,40,0
71,50,30,1
73,30,30,0
74,50,30,0
75,30,70,1
76,60,20,0
77,40,40,0
78,40,100,0
79,75,30,1
80,50,50,1
81,30,40,1
82,50,30,0
83,60,60,0
84,40,60,0
85,50,30,0
86,60,30,1
87,40,40,0
88,40,60,1
89,40,100,0
90,50,50,0
91,30,70,0
92,50,40,0
93,30,40,0
94,30,100,1
95,40,50,0
96,75,40,0
98,50,100,0
99,50,30,1
100,50,100,0
101,50,70,0
102,60,40,1
104,60,20,1
105,30,30,0
106,40,30,0
107,50,50,0
108,60,50,0
109,50,50,0
110,30,100,0
112,60,70,0
113,60,20,1
114,50,60,1
115,50,100,0
116,30,30,1
117,50,20,1
119,30,30,0
120,75,30,1
121,50,70,0
122,50,40,0
123,40,100,1
124,30,60,1
125,50,50,0
126,20,30,0
127,40,20,1
128,30,40,1
129,30,60,0
130,60,20,1
131,40,30,1
132,75,20,1
133,75,70,1
134,50,100,0
135,50,50,1
136,75,20,1
137,30,20,1
138,50,50,0
139,50,60,1
140,50,60,0
141,40,70,0
142,60,100,1
143,30,40,0
144,60,30,1
145,75,40,1
146,75,30,1
147,50,50,0
148,30,40,0
149,40,30,0
150,50,50,0
151,30,30,0
152,40,30,0
153,30,30,1
154,40,30,1
155,50,60,0
157,75,20,1
158,40,60,0
159,20,20,0
160,50,30,1
162,40,30,0
163,60,100,0
164,75,20,1
165,75,30,1
166,50,40,1
167,30,20,1
168,40,30,0
169,40,40,0
170,50,30,0
171,50,20,1
172,40,30,0
173,30,40,1
174,60,60,0
175,50,20,1
176,40,30,0
177,30,100,0
178,30,50,1
179,40,50,0
180,30,40,1
181,40,50,0
182,75,20,0
183,30,40,1
184,40,100,0
185,60,40,0
186,40,50,0
187,40,40,1
188,40,20,1
189,75,20,1
190,60,70,0
191,50,60,0
193,60,40,1
195,60,40,0
196,40,30,1
197,40,30,1
199,50,30,0
200,50,40,0
201,50,100,0
202,60,40,1
203,30,20,1
204,50,60,1
205,40,60,0
207,30,30,1
208,20,100,0
209,60,20,0
210,30,30,0
211,30,20,0
212,40,40,0
213,60,70,0
214,40,20,1
215,30,40,0
216,40,40,0
217,50,100,0
218,40,70,0
219,40,30,0
220,50,30,0
221,40,100,1
222,40,30,1
223,40,40,1
224,40,50,1
225,40,40,0
226,75,30,0
227,40,50,0
228,60,60,0
229,50,40,0
230,40,40,0
231,30,40,0
232,40,40,1
233,30,30,0
234,40,50,0
235,30,30,0
236,60,50,0
237,40,20,0
238,50,40,0
239,50,50,0
240,60,70,1
241,40,30,0
242,50,40,1
243,75,50,0
244,40,30,0
245,30,50,0
246,50,20,1
248,30,100,1
249,40,20,1
250,30,40,0
251,50,50,0
252,40,100,0
253,50,20,1
255,20,40,1
256,40,60,0
257,60,70,0
259,50,40,0
260,75,20,1
261,40,50,0
262,40,60,0
263,60,20,0
264,40,70,0
265,30,100,0
266,30,30,1
267,75,30,0
268,60,20,1
269,75,20,0
270,60,40,1
271,40,50,0
272,40,40,0
273,30,40,0
274,60,40,0
275,75,30,0
276,75,20,1
277,60,30,0
278,50,40,0
279,75,40,1
280,75,20,1
281,60,70,0
282,60,100,0
283,30,30,0
284,75,20,1
285,40,20,1
286,50,20,1
287,40,30,1
288,40,40,0
289,40,30,0
290,40,100,0
291,75,40,0
292,30,50,0
293,50,100,0
294,60,40,0
295,50,40,0
296,50,50,0
297,60,30,0
298,30,100,0
299,30,60,1
300,50,50,0
301,60,30,1
302,40,100,0
303,50,60,0
304,60,20,1
305,30,20,0
306,40,40,0
307,40,50,0
308,40,50,0
309,30,40,1
310,40,60,1
311,50,50,1
312,30,50,1
313,60,60,1
314,40,40,1
315,50,60,0
316,40,30,0
317,30,40,1
318,50,30,0
319,30,30,1
320,30,30,1
321,40,30,1
322,60,100,0
323,40,60,1
324,60,20,1
325,30,100,0
326,75,20,0
327,75,40,0
328,50,50,1
329,50,30,0
330,20,20,0
331,60,60,1
332,40,40,0
333,40,50,0
334,40,40,1
335,60,60,0
336,40,50,1
338,40,60,0
339,30,20,0
340,40,60,0
341,50,50,0
342,50,50,1
343,40,40,0
345,30,30,0
346,40,20,0
347,60,60,0
348,50,30,0
350,60,30,1
351,40,50,0
352,40,50,0
353,30,30,1
354,30,30,1
356,40,60,1
358,75,20,0
359,60,20,1
361,75,20,0
362,50,40,0
363,50,70,0
364,30,30,1
365,60,50,0
366,40,30,0
367,30,50,0
368,50,70,0
369,30,70,0
370,40,20,0
371,50,70,0
372,50,20,1
373,40,40,1
374,50,50,0
375,40,20,0
376,40,50,0
377,40,70,0
378,75,20,0
379,30,30,0
380,30,50,1
381,30,40,1
382,40,60,1
383,40,30,1
384,40,40,0
385,30,30,0
386,40,40,1
387,60,30,0
388,30,30,0
390,75,30,0
391,50,60,1
392,75,20,1
393,75,20,1
394,40,70,1
395,60,40,0
396,50,20,0
397,50,50,0
398,40,60,1
400,50,70,0
402,60,50,0
404,75,30,0
405,50,100,0
406,40,60,0
407,50,100,0
409,50,60,0
410,50,40,0
411,50,40,0
412,30,20,1
413,50,20,1
414,50,50,0
415,50,50,0
416,75,20,1
417,60,100,0
418,40,40,1
419,60,60,0
420,50,50,0
421,60,50,1
422,50,70,0
423,30,50,0
424,40,50,1
425,40,30,0
426,30,40,0
427,60,60,1
428,60,50,0
429,40,40,0
430,40,100,0
431,30,100,0
432,75,50,1
433,50,50,0
434,50,100,1
435,30,40,0
436,40,30,0
437,40,40,0
438,30,30,0
439,50,50,0
440,40,20,1
441,50,40,0
442,30,40,0
443,50,30,0
446,50,60,0
447,40,70,1
448,50,20,0
449,60,60,0
450,75,20,1
451,40,60,0
452,40,70,0
453,60,20,1
454,75,30,0
455,40,40,0
456,40,20,0
457,75,30,0
458,60,20,0
459,60,20,1
460,60,40,0
461,40,60,1
462,75,30,1
463,75,20,1
464,50,100,1
465,75,20,1
466,50,20,1
467,75,40,0
468,50,50,0
469,75,30,1
470,30,40,0
471,50,60,1
472,40,70,1
473,30,70,1
475,50,20,1
476,40,30,1
477,40,60,0
478,30,40,0
479,50,100,0
480,75,20,0
481,60,20,1
482,50,60,1
483,60,40,0
501,30,20,1
502,40,40,0
503,40,20,0
504,30,20,0
505,30,20,1
506,60,50,0
507,60,70,0
509,40,40,0
510,30,40,0
511,40,40,0
512,40,40,0
513,40,30,1
514,30,50,0
515,60,40,1
516,40,100,0
518,40,50,1
519,30,50,0
520,30,30,0
522,30,60,1
523,75,30,0
524,75,40,0
525,40,100,0
526,40,50,1
528,40,50,1
529,60,20,1
530,50,100,0
531,60,50,0
533,50,100,1
534,60,20,1
535,30,100,0
536,30,30,1
537,60,70,0
538,40,30,0
539,40,40,0
540,50,40,0
541,40,40,0
542,50,30,1
543,60,30,0
544,50,50,0
545,60,40,0
546,50,30,1
547,30,60,0
549,50,70,0
550,50,100,0
551,40,50,0
552,50,50,1
553,50,40,1
554,30,30,0
555,60,60,0
556,40,100,1
557,40,50,0
558,30,60,1
559,40,60,1
560,60,100,1
561,30,40,0
562,30,20,0
563,30,40,1
564,40,30,0
566,40,100,0
567,60,30,0
568,40,30,0
569,40,40,0
570,50,100,0
571,75,30,1
572,30,20,1
573,30,20,0
574,40,30,0
575,30,30,0
577,75,40,0
578,40,30,0
579,50,40,1
580,40,40,1
581,40,40,0
582,30,70,1
583,75,100,0
584,40,40,0
585,30,100,0
586,40,40,1
587,50,50,0
588,30,20,0
589,60,20,1
590,30,60,1
591,40,50,0
592,40,70,0
593,40,60,1
594,50,20,0
595,75,40,0
596,40,60,0
597,50,70,0
598,50,40,0
599,40,40,0
600,40,50,1
601,60,20,1
602,40,40,0
603,40,50,0
604,75,20,1
605,50,50,1
606,50,30,1
607,40,60,0
608,50,60,0
609,30,50,0
610,40,50,0
611,30,60,1
612,75,20,0
613,30,40,0
614,40,100,0
615,60,40,1
616,50,60,0
617,75,100,0
618,50,100,0
619,40,30,0
621,40,20,0
622,40,60,0
623,50,60,0
624,75,30,1
625,30,100,0
626,50,60,0
627,30,40,1
628,40,30,1
629,60,40,0
630,60,100,0
631,40,40,1
632,30,60,0
633,50,60,0
634,75,20,1
635,40,100,0
636,40,40,0
637,30,40,1
638,50,40,0
639,50,30,0
640,50,60,0
641,30,40,1
642,60,40,1
643,40,40,0
644,50,30,0
645,60,40,1
646,30,50,1
647,40,30,0
648,50,40,0
649,30,20,1
650,60,70,0
651,30,30,0
652,40,70,0
653,30,50,1
654,30,100,1
655,40,40,1
656,40,30,0
657,40,40,1
658,30,30,0
659,40,60,0
660,30,40,0
661,30,60,0
662,50,50,1
663,30,30,0
664,40,30,0
665,50,30,0
666,40,70,1
667,40,30,1
669,75,20,1
670,60,40,0
671,50,20,0
672,30,50,0
674,40,30,1
675,60,30,0
676,30,50,1
677,40,20,0
678,60,30,1
679,50,100,0
680,40,30,0
681,60,100,1
682,60,30,1
683,40,30,1
684,50,100,0
685,50,40,1
686,40,50,0
687,40,40,0
688,50,30,0
689,40,40,1
690,75,30,1
691,30,40,0
692,50,40,0
693,40,70,0
694,40,40,0
695,60,40,1
696,50,60,0
697,50,40,0
698,50,20,1
699,30,40,0
700,60,60,0
701,40,70,0
702,50,20,1
703,60,40,0
704,40,50,0
705,75,20,1
707,50,30,0
708,60,40,1
709,40,40,0
710,75,40,1
711,40,40,0
712,40,20,1
713,40,40,0
714,40,40,0
715,30,40,0
716,50,40,0
717,60,50,0
718,60,20,1
719,60,70,0
720,40,30,0
721,50,50,0
723,40,40,0
724,60,100,0
725,40,30,0
726,40,30,0
727,75,30,0
728,75,20,0
729,60,50,0
730,50,100,0
731,40,40,0
732,30,30,0
733,40,60,1
734,75,20,1
735,30,30,0
736,50,70,0
737,40,100,0
738,30,40,1
739,40,40,0
740,75,30,1
741,40,60,0
742,60,20,1
743,40,20,1
744,30,40,1
745,40,30,0
746,40,40,0
747,40,40,1
748,60,40,0
749,50,100,0
750,50,40,1
751,50,20,1
752,60,30,1
753,30,20,0
754,40,50,0
755,20,20,0
756,50,60,0
757,75,20,1
758,60,20,1
759,50,30,0
760,50,60,0
761,40,50,0
762,50,20,0
763,60,50,1
764,60,40,0
765,30,30,0
766,30,30,1
767,40,100,0
768,40,50,1
769,30,50,1
770,60,20,0
771,50,50,1
772,40,30,1
773,30,20,0
774,60,40,1
775,60,50,0
776,40,60,0
777,50,40,1
778,40,20,1
779,40,30,0
780,50,30,0
781,50,30,0
782,50,20,0
783,30,30,1
784,50,100,0
785,40,50,0
786,75,20,1
787,40,40,0
788,75,20,1
789,60,20,0
790,30,50,0
791,30,100,1
792,30,30,0
793,50,50,1
794,30,50,1
795,50,30,0
796,40,50,0
797,40,30,1
798,40,30,1
799,50,60,0
800,30,50,0
801,40,60,1
802,60,30,0
803,40,100,0
804,60,30,0
805,30,30,0
806,60,30,0
807,50,30,0
808,30,30,1
809,40,20,0
810,30,40,1
811,75,20,0
812,50,100,0
813,50,50,0
814,40,60,1
815,50,60,0
816,60,30,0
817,40,50,1
818,50,20,0
819,40,40,1
820,50,60,1
821,60,50,0
822,40,30,1
823,60,50,0
826,50,60,0
827,30,40,1
828,40,50,0
829,40,100,0
830,30,20,1
831,60,20,1
832,50,70,0
833,60,20,0
834,30,30,0
835,30,50,0
836,50,50,1
837,50,60,0
838,50,100,1
839,50,50,0
840,60,30,1
841,40,50,0
842,30,20,0
843,60,20,1
844,30,20,0
845,30,50,0
847,60,50,1
848,40,40,0
850,30,50,0
851,40,60,0
852,50,50,1
853,40,100,1
854,50,40,0
855,40,50,1
856,60,20,0
857,40,70,0
858,30,40,1
859,40,100,0
860,30,60,0
861,30,20,1
862,40,40,1
863,30,60,0
864,30,40,0
865,50,40,0
866,30,40,1
867,40,60,0
868,40,30,0
869,40,40,1
870,40,100,0
871,40,50,1
872,30,20,0
873,40,60,1
874,40,40,0
875,60,40,0
876,50,100,0
877,75,20,0
878,60,50,0
879,60,30,1
880,40,40,0
881,50,40,0
882,40,40,0
883,30,60,0
884,40,40,0
885,40,100,0
886,40,40,0
888,30,40,0
889,40,70,0
890,50,60,0
891,75,20,0
892,40,40,0
893,40,100,0
894,40,40,0
895,50,30,0
896,40,40,0
897,40,60,1
898,30,40,0
899,60,50,0
900,30,50,1
901,60,100,1
902,40,50,0
903,50,50,0
904,30,50,0
905,30,60,0
906,50,20,1
907,40,20,1
908,50,30,0
909,50,50,0
910,50,50,0
911,30,30,0
913,40,60,1
914,40,50,0
915,40,50,0
916,75,20,1
917,40,60,1
918,50,100,0
919,60,40,0
920,50,100,0
921,40,30,1
922,40,20,1
923,75,20,0
924,40,100,0
925,40,40,1
926,60,20,0
927,30,40,0
928,50,40,0
929,50,100,0
930,60,30,0
932,40,60,0
933,30,30,0
934,40,30,0
936,50,60,1
937,50,30,0
938,50,60,0
939,40,70,0
941,50,100,0
942,30,20,0
943,50,60,0
944,50,50,0
945,30,50,1
946,40,30,0
947,50,30,0
948,40,40,1
949,50,70,0
950,75,20,1
951,30,30,0
952,40,40,0
953,30,50,0
954,40,100,0
955,40,40,0
956,50,20,0
957,40,20,0
958,40,50,0
959,60,40,1
960,40,60,0
961,40,40,0
962,30,30,1
963,30,40,0
964,60,50,0
965,30,50,0
966,30,40,0
967,60,60,0
968,50,70,0
969,30,30,0
970,40,50,1
971,75,20,0
972,30,30,0
973,40,50,1
974,60,40,0
975,50,50,0
976,30,100,1
977,40,30,0
978,50,100,0
979,40,30,1
980,30,20,1
982,40,30,1
983,30,100,0
984,50,30,1
985,30,40,0
986,30,50,1
988,75,100,0
989,40,20,0
990,40,70,0
991,40,50,0
992,30,100,1
993,75,20,1
994,60,20,1
995,40,70,0
996,30,70,0
997,40,20,1
998,60,40,0
999,50,30,1
1000,75,20,1
1001,50,100,0
1002,40,50,0
1003,75,20,1
1004,40,20,0
1005,30,30,0
1006,50,30,0
1007,30,40,0
1009,50,30,1
1010,40,40,0
1011,40,20,0
1012,60,100,0
1013,50,40,0
1014,60,30,1
1015,50,40,0
1016,40,30,1
1017,60,20,1
1018,60,20,0
1019,30,20,1
1020,50,40,0
1021,60,40,0
